experiment,method,seed,evaluation_split,parameters,algorithm_time,compilation_time,drift_rmse,covariance_rmse,nll,raw_spd_violation_rate,min_raw_eigenvalue
ex2,fourier,2,validation,3072,7.486345220007934,8.23491645802278,0.29198986291885376,0.0009009438217617571,-11.579379081726074,0.0,5.8316531067248434e-05
ex2,fourier,3,validation,3072,7.880961945978925,8.09924435307039,0.27680328488349915,0.0008443316328339279,-11.582414627075195,0.0,5.854272239957936e-05
ex2,fourier,4,validation,3072,7.520758992002811,7.295002432947513,0.24081337451934814,0.0006535337888635695,-11.590178489685059,0.0,5.7864592236001045e-05
ex2,fourier,5,validation,3072,7.793181849992834,7.511135943001136,0.2739415466785431,0.0008100653067231178,-11.584343910217285,0.0,5.7962512073572725e-05
ex2,fourier,6,validation,3072,7.2795945960097015,8.087241410976276,0.2710162401199341,0.0008040001848712564,-11.584758758544922,0.0,5.778502600151114e-05
ex2,fourier,7,validation,3072,7.626981384004466,7.586562098993454,0.28873082995414734,0.0008824491524137557,-11.579586029052734,0.0,5.823811807204038e-05
ex2,fourier,8,validation,3072,7.750784303992987,7.945905516971834,0.2679409384727478,0.0007696836837567389,-11.585602760314941,0.0,5.7637917052488774e-05
ex2,fourier,9,validation,3072,8.113791008945554,7.64250485697994,0.2771875858306885,0.000816077517811209,-11.583459854125977,0.0,5.7784134696703404e-05
ex2,fourier,10,validation,3072,7.240171940997243,7.480291839048732,0.27909162640571594,0.0008377932826988399,-11.58224868774414,0.0,5.8504090702626854e-05
ex2,fourier,11,validation,3072,7.696162421954796,7.784269922936801,0.25389039516448975,0.0006475436384789646,-11.58597469329834,0.0,5.7765708334045485e-05
ex2,fourier,12,validation,3072,7.43815253599314,7.8478793620015495,0.28432637453079224,0.0008599869906902313,-11.582070350646973,0.0,5.775770841864869e-05
ex2,fourier,13,validation,3072,7.868609477009159,7.680001250002533,0.2734344005584717,0.0007419363246299326,-11.582459449768066,0.0,5.7778117479756474e-05
ex2,fourier,14,validation,3072,7.66741323901806,7.727480823989026,0.2723354995250702,0.0007994446787051857,-11.583894729614258,0.0,5.779732600785792e-05
ex2,fourier,15,validation,3072,8.079109976999462,7.802634306019172,0.27420058846473694,0.0008048310410231352,-11.583948135375977,0.0,5.7776629546424374e-05
ex2,fourier,16,validation,3072,7.380210821051151,7.883587659918703,0.27489930391311646,0.0008003920665942132,-11.582528114318848,0.0,5.804929242003709e-05
ex2,fourier,17,validation,3072,8.091173070017248,7.28678215900436,0.27616584300994873,0.0008060220279730856,-11.583946228027344,0.0,5.7737826864467934e-05
ex2,fourier,18,validation,3072,7.647332291002385,7.391319872112945,0.272177517414093,0.0007975701009854674,-11.583246231079102,0.0,5.82416687393561e-05
ex2,fourier,19,validation,3072,8.312531785981264,7.482404572016094,0.27034059166908264,0.0007843436324037611,-11.58565616607666,0.0,5.789336864836514e-05
ex2,fourier,20,validation,3072,7.432653681957163,8.16814720799448,0.2679187059402466,0.000785068201366812,-11.585298538208008,0.0,5.78396902710665e-05
