K,N,dataset_root,h,method,seed,study,variant,parameters,algorithm_time,best_epoch,train_nll,train_drift_rmse,train_covariance_rmse,train_min_raw_eigenvalue,validation_nll,validation_drift_rmse,validation_covariance_rmse,validation_min_raw_eigenvalue,test_nll,test_drift_rmse,test_covariance_rmse,test_min_raw_eigenvalue,final_drift_best_epoch,covariance_best_epoch,train_min_covariance_eig,validation_min_covariance_eig,test_min_covariance_eig,final_drift_best_iteration,covariance_best_iteration,train_raw_spd_violation_rate,validation_raw_spd_violation_rate,test_raw_spd_violation_rate,train_numerical_nonpositive_eig_rate,validation_numerical_nonpositive_eig_rate,test_numerical_nonpositive_eig_rate
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,split_mlp,3,regime_N,h_0.0001,14180,628.5595562750241,,-10.048612368774414,0.6623442796873925,0.3954302402380483,,-10.087979698181153,0.6589509401722498,0.3857134900844003,,-10.077318008422852,0.6570443616603654,0.3961657472860409,,98,291,2.555432183726225e-05,2.71547742158873e-05,2.6893090762314387e-05,,,,,,0.0,0.0,0.0
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,split_mlp,4,regime_N,h_0.0001,14180,615.3797121070093,,-10.41411305999756,0.20917289048731635,0.3089481744634083,,-10.45518479309082,0.20850396840296814,0.3025980099825834,,-10.425721284484863,0.21070108728553133,0.30916213187799546,,9,283,4.4730033550877124e-05,4.5403081458061934e-05,4.492491279961541e-05,,,,,,0.0,0.0,0.0
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,split_mlp,5,regime_N,h_0.0001,14180,668.5602363450453,,-10.500088227844238,0.3071891830248338,0.1928660418859066,,-10.543378633117676,0.3069227004941183,0.19064817982040433,,-10.532000314331055,0.3060542297284363,0.1916318353384527,,4,282,3.072652907576412e-05,3.0824718123767525e-05,3.086118886130862e-05,,,,,,0.0,0.0,0.0
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,split_mlp,6,regime_N,h_0.0001,14180,669.9596099749906,,-10.234521604919433,0.7814656751387086,0.19788064404627195,,-10.268103175354003,0.7776490778753724,0.19324711196989916,,-10.213944480895996,0.7704579700150557,0.1969541492862364,,114,298,3.261953315814026e-05,3.261670644860715e-05,3.3394007914466783e-05,,,,,,0.0,0.0,0.0
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,split_mlp,7,regime_N,h_0.0001,14180,639.3548195239855,,-10.308062226867676,0.5409339170552598,0.3678475275860827,,-10.33400940093994,0.5381425895323827,0.34502693159090503,,-10.31800665435791,0.5382376168415011,0.3692373251548061,,58,298,3.539535464369692e-05,3.5429733543423936e-05,3.548536915332079e-05,,,,,,0.0,0.0,0.0
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,split_mlp,8,regime_N,h_0.0001,14180,623.0542473020032,,-10.318595855712891,0.9665302730337044,0.19683225125625567,,-10.357355096435548,0.9627058956626429,0.1957626982370731,,-10.3268454498291,0.9581590627025732,0.19753993907663714,,124,289,3.448194183874875e-05,3.475818448350765e-05,3.474986078799702e-05,,,,,,0.0,0.0,0.0
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,split_mlp,9,regime_N,h_0.0001,14180,662.606901683961,,-10.335778218078612,0.2368866962217911,0.1894408835066632,,-10.373019105529785,0.236925862691439,0.18874792777103677,,-10.35133796081543,0.23627765839079426,0.19057223635526113,,0,294,3.0266099201980978e-05,3.0416009394684806e-05,3.0415665605687536e-05,,,,,,0.0,0.0,0.0
1024,160000,dataset_roots/N_160000/h_0.0001,0.0001,joint_fourier,0,regime_N,h_0.0001,14336,228.15232636395376,271,-8.83559227,0.492215574,2.86087012,5.55391989e-06,-8.85873413,0.492174327,2.84155607,5.84036161e-06,-8.82513618,0.498470575,2.80045152,6.22251537e-06,,,,,,,,,,,,,
1024,160000,dataset_roots/N_160000/h_0.0001,0.0001,joint_fourier,1,regime_N,h_0.0001,14336,215.57559445197694,292,-8.79806423,0.388875484,2.43440294,1.23712507e-05,-8.84061813,0.388600886,2.44311523,1.24354628e-05,-8.79813671,0.395551562,2.40537024,1.24991948e-05,,,,,,,,,,,,,
1024,160000,dataset_roots/N_160000/h_0.0001,0.0001,joint_fourier,2,regime_N,h_0.0001,14336,228.3448585619917,243,-8.77295113,0.414382547,3.88657594,6.82652899e-06,-8.80978775,0.412170976,3.92396331,6.75351976e-06,-8.77521992,0.419053882,3.82935381,7.53727409e-06,,,,,,,,,,,,,
