K,N,dataset_root,h,method,seed,study,variant,parameters,algorithm_time,reused,train_nll,train_drift_rmse,train_covariance_rmse,train_min_raw_eigenvalue,train_nll_minus_log_h,validation_nll,validation_drift_rmse,validation_covariance_rmse,validation_min_raw_eigenvalue,validation_nll_minus_log_h,test_nll,test_drift_rmse,test_covariance_rmse,test_min_raw_eigenvalue,test_nll_minus_log_h,train_min_covariance_eig,validation_min_covariance_eig,test_min_covariance_eig,train_raw_spd_violation_rate,validation_raw_spd_violation_rate,test_raw_spd_violation_rate,train_numerical_nonpositive_eig_rate,validation_numerical_nonpositive_eig_rate,test_numerical_nonpositive_eig_rate
1024,640000,dataset_roots/N_640000/h_0.0008,0.0008,split_mlp,8,regime_h,h_0.0008,14180,4840.261776185012,True,-8.00074776763916,0.23347055050415133,0.13838333076218007,,-0.8698489373428133,-8.036303665161133,0.2331568555817433,0.13610400342542708,,-0.905404834864787,-7.996307275390625,0.23457606501448422,0.13961093358029858,,-0.8654084450942783,4.621815969585441e-05,4.63350661448203e-05,4.629769318853505e-05,,,,0.0,0.0,0.0
1024,640000,dataset_roots/N_640000/h_0.0008,0.0008,split_mlp,9,regime_h,h_0.0008,14180,5016.188051613048,True,-7.999346012878418,0.20826534439094463,0.13505593662540644,,-0.8684471825820719,-8.04408539276123,0.20765174419894566,0.13308490846274382,,-0.913186562464884,-7.999618911743164,0.2102967881315704,0.13538724445203817,,-0.8687200814468179,4.366477514849976e-05,4.374801574158482e-05,4.373325646156445e-05,,,,0.0,0.0,0.0
1024,640000,dataset_roots/N_640000/h_0.001,0.001,joint_fourier,0,regime_h,h_0.001,14336,901.8521600390086,True,-6.5761075,0.137228161,0.681506038,6.19697312e-05,0.3316477789821368,-6.61006546,0.136524603,0.68259716,6.2991603e-05,0.2976898189821364,-6.53798819,0.138734117,0.67695874,6.2459163e-05,0.3697670889821367,,,,,,,,,
1024,640000,dataset_roots/N_640000/h_0.001,0.001,joint_fourier,1,regime_h,h_0.001,14336,893.1517793970415,True,-6.60278988,0.170512065,0.87575388,3.07005757e-05,0.30496539898213726,-6.64185619,0.171677798,0.881263018,3.09188363e-05,0.26589908898213643,-6.5768466,0.170933947,0.860059261,3.07846385e-05,0.33090867898213716,,,,,,,,,
1024,640000,dataset_roots/N_640000/h_0.001,0.001,joint_fourier,2,regime_h,h_0.001,14336,852.9955204690341,True,-6.57593203,0.122466922,0.675566018,6.78423385e-05,0.3318232489821371,-6.60054064,0.122141473,0.673176408,7.19433447e-05,0.30721463898213663,-6.55608749,0.12340349,0.668357849,7.17313742e-05,0.35166778898213646,,,,,,,,,
1024,640000,dataset_roots/N_640000/h_0.001,0.001,joint_fourier,3,regime_h,h_0.001,14336,891.3668284879532,True,-6.62656927,0.142400488,0.676301241,4.4642893e-05,0.28118600898213675,-6.64846563,0.142160207,0.67472285,4.49276704e-05,0.25928964898213724,-6.59715128,0.144342452,0.674443662,4.55018526e-05,0.31060399898213653,,,,,,,,,
1024,640000,dataset_roots/N_640000/h_0.001,0.001,joint_fourier,4,regime_h,h_0.001,14336,841.9899707889417,True,-6.5264082,0.161879018,0.642757654,4.62762582e-05,0.38134707898213716,-6.54630232,0.161994949,0.644521475,4.77321082e-05,0.36145295898213714,-6.4999404,0.162786767,0.635295987,5.15503598e-05,0.407814878982137,,,,,,,,,
1024,640000,dataset_roots/N_640000/h_0.001,0.001,joint_fourier,5,regime_h,h_0.001,14336,889.2301576510072,True,-6.60071802,0.137701198,0.659620166,4.46395461e-05,0.3070372589821364,-6.62467384,0.13781856,0.662354946,4.67836653e-05,0.283081438982137,-6.57738209,0.138978437,0.654258847,4.72116808e-05,0.3303731889821364,,,,,,,,,
1024,640000,dataset_roots/N_640000/h_0.001,0.001,joint_fourier,6,regime_h,h_0.001,14336,849.7540614239406,True,-6.57756948,0.141036272,0.749092877,4.00075623e-05,0.3301857989821366,-6.59514046,0.141519442,0.750899076,4.51109518e-05,0.31261481898213717,-6.55993509,0.141506061,0.74617964,4.57568494e-05,0.34782018898213707,,,,,,,,,
1024,640000,dataset_roots/N_640000/h_0.001,0.001,joint_fourier,7,regime_h,h_0.001,14336,864.7055220530601,True,-6.56154203,0.127091244,0.629947364,5.34246683e-05,0.3462132489821368,-6.5850358,0.126679674,0.627505898,5.6775476e-05,0.3227194789821368,-6.5415535,0.128497973,0.623104036,5.76921047e-05,0.3662017789821368,,,,,,,,,
