iteration,training_noisy_mse,acceptance_fraction,pre_resampling_ess,unique_parents,maximum_offspring,post_amplitude_norm,post_frequency_rms,post_centered_frequency_rms,proposal_sha256,acceptance_sha256,internal_noisy_mse
109,4446.759765625,0.87890625,861.2292461443354,623,7,34.395275732563285,12.35325067217593,9.761254060490096,3234478cb8172f4c895380ec271f7fdecb68808a2f521ae9a8ca94d1ea1537ff,ad5ca90d3297c7531d27b61ce5f876b2eed002204a16d72038de91a65a506dc6,5148.74755859375
110,4442.373046875,0.8642578125,855.7241210666766,616,6,34.40252311703694,12.330253313411715,9.813446724797348,5fbb68cdd0f7538f509887aac9d420045af39b8d99aed33fca590e8de51ec254,451457cc6f4cc168868887bd262d26832a6d1debdf712bd7e63fa347e7da65ba,5136.19873046875
111,4442.05078125,0.8759765625,860.4106452777603,624,8,34.68203282911246,12.65595096338732,9.804865092691804,76e9635cce3451cf67b58cfce075d9ca2aae4c04ce7d224093b7093063facf02,339c6e611f25897a4f58db7f74e2140128cb59ded73220eb570b4c9b1ddddd6b,5121.60595703125
112,4439.62109375,0.88671875,855.5053075695263,620,7,34.899901301694555,12.61526513992576,9.79675658517663,c2fedbcf4ded76587749776883aa6dac720f375acf8f08bbcb546311f29dba0d,6ec4cef19f446d02fb2dfbf68a1114593ff935c70746a3641c25089ae2c1d055,5130.3115234375
113,4443.490234375,0.89453125,844.1655530108056,594,7,34.970288575511034,12.672508204125213,9.936108395516767,3974275ff98f7d37dfa619d5d75aa4fc75e4396d2bc333caa1e2164f72ded644,4d3fb4b95ad33bec2ac11fa78b09f64c5cad395404b38834c1d8def111741800,5127.0732421875
114,4435.42431640625,0.869140625,851.5232427649242,601,7,35.61217491581128,12.809918232462984,10.021728364304618,30a3cbf883716c82de1ebd7e047fff8774b79311b4badead12f91dde0a660fa0,98d7af7c41cba44368a5c5429831fa186b51b8b734186aeb9722802210b6c224,5121.986328125
115,4431.74609375,0.8720703125,863.1703210349474,612,6,35.999077503162994,12.794556592265138,9.92905044258193,90e0d66722786fd3fcddf2e9bd6915c9d84347d1b9c8580caeb1a16f7c61f2be,02d672f61318853dbd84a18955b8bb1ec39894964026bcb966f5342e8082c5c1,5093.27392578125
116,4427.11767578125,0.869140625,842.2150708560442,608,7,35.47035092360342,12.615710014947755,9.766092254841606,51a61c112aebe5e14a0ed6ef1d10400f3e2c9fc62a7c1d65949c38f07f3224fb,257fe494375a2936d413e69c078883c79f14826313f676160e8fee5aca2813c7,5102.58984375
117,4420.22705078125,0.896484375,822.7693852872726,619,7,35.56023070650457,12.861242071948093,10.061973620730715,db6294be34bf5a03d254c2c71c7a078955b0e53b85fa2bff129ddc6f212cae7e,1d5ce901a49d8fe75b921b29487cd7c95037088d6a18c883d5bb39a1f5d36df5,5116.87158203125
118,4419.080078125,0.8828125,841.4437868071623,604,8,36.38779550929299,12.975546979561244,9.891266343877268,d41b833d92757e4b837f2f2e2955009c8e614fd491f98eede8be8f19925b15a1,b6f5a3db98711e379d710276987a8a40e4989c83e26330cd839de5375d0b232f,5132.45947265625
