id,h,lambda,seed,reused,artifact,artifact_sha256,train_drift_rmse,train_covariance_rmse,train_nll,train_raw_spd_violation_rate,train_min_raw_eigenvalue,validation_drift_rmse,validation_covariance_rmse,validation_nll,validation_raw_spd_violation_rate,validation_min_raw_eigenvalue,test_drift_rmse,test_covariance_rmse,test_nll,test_raw_spd_violation_rate,test_min_raw_eigenvalue,fold_0_best_iteration,fold_0_best_validation_mse,fold_0_algorithm_time,fold_0_fitting_count,fold_1_best_iteration,fold_1_best_validation_mse,fold_1_algorithm_time,fold_1_fitting_count,fold_2_best_iteration,fold_2_best_validation_mse,fold_2_algorithm_time,fold_2_fitting_count,fold_3_best_iteration,fold_3_best_validation_mse,fold_3_algorithm_time,fold_3_fitting_count,fold_4_best_iteration,fold_4_best_validation_mse,fold_4_algorithm_time,fold_4_fitting_count,final_drift_best_iteration,final_drift_best_validation_mse,final_drift_algorithm_time,final_drift_fitting_count,covariance_best_iteration,covariance_best_validation_mse,covariance_algorithm_time,covariance_fitting_count,algorithm_time,compilation_time,end_to_end_time
h0.0004_lambda0.008_seed0,0.0004,0.008,0,False,results/ex8_h_lambda_drift_v1/jobs/h0.0004_lambda0.008_seed0/artifact.npz,5e52f9585ee4b8a020de19605c85f8e75254a4e4a51196c4ae5cfd7272ef6527,0.18831486999988556,0.08088883012533188,-7.908360004425049,0.46711406111717224,-0.12105084210634232,0.1886148750782013,0.07870373129844666,-7.949145317077637,0.4723999798297882,-0.12023594975471497,0.18930120766162872,0.08050370961427689,-7.916486740112305,0.46799999475479126,-0.12067371606826782,1.0,1239.45263671875,132.2012184651103,460800,73.0,1243.271728515625,131.40774666611105,460800,8.0,1239.183837890625,131.09718477004208,460800,1.0,1254.751953125,131.07605987414718,460800,1.0,1248.4700927734375,131.14625740400515,460800,1.0,1255.306884765625,164.09900281298906,576000,285.0,0.5731695890426636,163.08409280213527,576000,984.3930137080606,164.78482027212158,1149.1778339801822
h0.0004_lambda0.064_seed0,0.0004,0.064,0,False,results/ex8_h_lambda_drift_v1/jobs/h0.0004_lambda0.064_seed0/artifact.npz,5ef198b7dbffd43e0a0d82970a8f2a8e5cfe4a8c029bf853482f74797b3f157e,0.1625773161649704,0.0799192488193512,-7.906482696533203,0.4703156054019928,-0.11830215156078339,0.16292406618595123,0.07768359780311584,-7.936160564422607,0.4706999957561493,-0.11786999553442001,0.16254158318042755,0.07960330694913864,-7.919510841369629,0.4643999934196472,-0.11753634363412857,1.0,1239.4371337890625,132.8137825820595,460800,81.0,1243.247802734375,131.71609526104294,460800,39.0,1239.17822265625,131.7176912848372,460800,1.0,1254.74072265625,131.78138522594236,460800,1.0,1248.4759521484375,131.819936277112,460800,1.0,1255.2943115234375,164.92688396805897,576000,295.0,0.5730035305023193,164.84081925987266,576000,989.9027388880495,164.3175506091211,1154.2202894971706
h0.0004_lambda0.001_seed1,0.0004,0.001,1,True,results/capacity_regime_ex8_v2/production/regime_h/h_0.0004/K_1024_N_640000/arff/seed_1/artifact.npz,d833ff50778edd870f60784c9c502b3088010384f242c9d69c22b26c6532dbbc,0.27958035469055176,0.0821697860956192,-7.91042947769165,0.46247968077659607,-0.12174109369516373,0.2803165912628174,0.07988649606704712,-7.947161674499512,0.4675000011920929,-0.12210974842309952,0.2796161472797394,0.08191215991973877,-7.92604923248291,0.46059998869895935,-0.11886197328567505,3.0,1244.3699951171875,129.8624924320029,460800,10.0,1262.6953125,131.99486804695334,460800,20.0,1251.580078125,132.1043277119752,460800,30.0,1246.17578125,131.97549124294892,460800,2.0,1245.8720703125,132.04053458804265,460800,8.0,1245.1470947265625,165.25991010805592,576000,300.0,0.5805439352989197,165.46910918899812,576000,988.98223396705,164.65862659108825,1153.6408605581382
h0.0004_lambda0.008_seed1,0.0004,0.008,1,False,results/ex8_h_lambda_drift_v1/jobs/h0.0004_lambda0.008_seed1/artifact.npz,cb8c72d03bcd659c8cb18c9ceaa320032ca2e00455924bf8d4ac7d8311d4cbad,0.26956185698509216,0.08080177009105682,-7.909821510314941,0.4832218587398529,-0.11294811964035034,0.26969143748283386,0.07839889824390411,-7.947786331176758,0.4899999797344208,-0.11237480491399765,0.26963645219802856,0.08032669126987457,-7.9307169914245605,0.4851999878883362,-0.11156623810529709,1.0,1244.36376953125,131.0429606619291,460800,43.0,1262.6912841796875,131.55867901211604,460800,28.0,1251.5816650390625,131.99918350297958,460800,1.0,1246.163330078125,131.3678919209633,460800,1.0,1245.86376953125,131.3136260129977,460800,10.0,1245.1607666015625,164.46419595298357,576000,300.0,0.580410897731781,164.27004544995725,576000,986.2904476718977,163.08614660799503,1149.3765942798927
h0.0004_lambda0.064_seed1,0.0004,0.064,1,False,results/ex8_h_lambda_drift_v1/jobs/h0.0004_lambda0.064_seed1/artifact.npz,677cd18c3213a38e5f90eb57b96ab7706fc9ebe7d5095a137cc7b6b012b04749,0.16491247713565826,0.08168147504329681,-7.915969371795654,0.4743984341621399,-0.13721589744091034,0.16520224511623383,0.07924482971429825,-7.962391376495361,0.4854999780654907,-0.13672737777233124,0.16432131826877594,0.0813043937087059,-7.93393087387085,0.47189998626708984,-0.13724897801876068,1.0,1244.3515625,132.27690612594597,460800,27.0,1262.673583984375,131.4333324341569,460800,29.0,1251.600341796875,131.29172387393191,460800,1.0,1246.1517333984375,131.20516278385185,460800,1.0,1245.84619140625,131.18127650301903,460800,1.0,1245.1663818359375,164.28819376206957,576000,300.0,0.5804763436317444,163.12853171210736,576000,985.0940595678985,166.79321197909303,1151.8872715469915
h0.0004_lambda0.001_seed2,0.0004,0.001,2,True,results/capacity_regime_ex8_v2/production/regime_h/h_0.0004/K_1024_N_640000/arff/seed_2/artifact.npz,42fcd39976f82824a11dbe4566627d8c8f78a417cfea0c8619f1201124f55634,0.32324251532554626,0.07819370180368423,-7.943385601043701,0.46373122930526733,-0.12733520567417145,0.3270350694656372,0.07578080892562866,-7.985650539398193,0.4657999873161316,-0.12551166117191315,0.3235991597175598,0.07755651324987411,-7.975533485412598,0.4610999822616577,-0.12249495089054108,1.0,1260.2183837890625,131.80736774299294,460800,1.0,1234.4212646484375,132.0242208238924,460800,2.0,1249.635986328125,132.01144558598753,460800,5.0,1244.1748046875,132.05583325703628,460800,1.0,1256.4110107421875,131.79627024300862,460800,24.0,1248.2952880859375,164.81953382201027,576000,300.0,0.5836906433105469,164.75182053400204,576000,989.5279099820182,166.69273466500454,1156.2206446470227
h0.0004_lambda0.008_seed2,0.0004,0.008,2,False,results/ex8_h_lambda_drift_v1/jobs/h0.0004_lambda0.008_seed2/artifact.npz,9f043d2fdbe8c589b22864d914749ec51aedfcb85c9b28f761d72cd59ed72daa,0.3461437225341797,0.07897820323705673,-7.8713483810424805,0.47909218072891235,-0.12977147102355957,0.35018235445022583,0.0764450654387474,-7.931506156921387,0.4869000017642975,-0.1261318325996399,0.34614449739456177,0.07856210321187973,-7.891530990600586,0.4794999957084656,-0.1294107884168625,1.0,1260.1998291015625,130.1598635399714,460800,2.0,1234.4219970703125,130.54766988009214,460800,3.0,1249.63623046875,129.76629947288893,460800,1.0,1244.156494140625,129.9472800618969,460800,1.0,1256.4105224609375,130.25023899087682,460800,34.0,1248.2879638671875,164.81047813384794,576000,296.0,0.583699107170105,164.72124461107887,576000,980.5180133499671,165.47084685810842,1145.9888602080755
h0.0004_lambda0.064_seed2,0.0004,0.064,2,False,results/ex8_h_lambda_drift_v1/jobs/h0.0004_lambda0.064_seed2/artifact.npz,ba2ee7f5f9c563afbf1c4bc30988567879e0ac7f33ab25cca613178ee18185be,0.3249897062778473,0.0803055688738823,-7.934329509735107,0.47118905186653137,-0.11973223090171814,0.32702600955963135,0.07831676304340363,-7.980749607086182,0.47749999165534973,-0.1200573518872261,0.32577645778656006,0.08002596348524094,-7.951277732849121,0.47209998965263367,-0.11974075436592102,1.0,1260.174560546875,132.482280976139,460800,4.0,1234.426513671875,131.62707318901084,460800,4.0,1249.636962890625,131.56974516808987,460800,57.0,1244.1378173828125,131.63563311798498,460800,2.0,1256.412109375,131.76038023992442,460800,36.0,1248.30419921875,164.8980489440728,576000,300.0,0.5841374397277832,164.97432252694853,576000,989.2290690750815,163.33046776708215,1152.5595368421637
h0.002_lambda0.001_seed0,0.002,0.001,0,True,results/capacity_regime_ex8_final_h_v1/production/regime_h/h_0.002/K_1024_N_640000/arff/seed_0/artifact.npz,061bf709b8d4d04270e1734542db17e0de937611df21d4d7c92068f062a8cf75,0.06971271336078644,0.0812147930264473,-5.8466997146606445,0.45545312762260437,-0.1377505213022232,0.07031890004873276,0.07916280627250671,-5.805210590362549,0.4608999788761139,-0.1348278969526291,0.07000896334648132,0.08076831698417664,-5.782365322113037,0.45159998536109924,-0.13771533966064453,1.0,249.63917541503906,131.9568814469967,460800,2.0,249.50979614257812,131.9204729050398,460800,1.0,247.3572540283203,131.37205366697162,460800,1.0,247.4608154296875,131.44667930784635,460800,1.0,248.8423614501953,130.8755118669942,460800,2.0,249.79550170898438,164.29686004295945,576000,295.0,0.5653697848320007,163.94514920399524,576000,986.0748391828965,166.30343121499754,1152.378270397894
h0.002_lambda0.008_seed0,0.002,0.008,0,False,results/ex8_h_lambda_drift_v1/jobs/h0.002_lambda0.008_seed0/artifact.npz,5ce8840956863ff0342624e983788ba366081f3f86e36c23c816fc89988957a5,0.06114639714360237,0.0812467634677887,-5.82319974899292,0.46118593215942383,-0.1161646693944931,0.06140849366784096,0.07915704697370529,-5.767314434051514,0.46379998326301575,-0.11591621488332748,0.0614616721868515,0.0809401199221611,-5.737302303314209,0.45649999380111694,-0.11537417769432068,1.0,249.63804626464844,131.15260914317332,460800,3.0,249.50936889648438,131.76759778801352,460800,3.0,247.3572235107422,132.13137861783616,460800,1.0,247.45753479003906,131.27733061788604,460800,1.0,248.84307861328125,131.1629486719612,460800,2.0,249.79542541503906,164.5380847591441,576000,293.0,0.5653178691864014,164.88724981015548,576000,987.2006499271374,163.91417048498988,1151.1148204121273
h0.002_lambda0.064_seed0,0.002,0.064,0,False,results/ex8_h_lambda_drift_v1/jobs/h0.002_lambda0.064_seed0/artifact.npz,622e7e3fe1fa38681a5e4d2ec75a280065a46eb6aa4bfe5b222748c68ef1fd12,0.061169642955064774,0.07981868088245392,-5.831424236297607,0.45850467681884766,-0.11103448271751404,0.06131870299577713,0.07788952440023422,-5.797349452972412,0.4594999849796295,-0.10886726528406143,0.06157476082444191,0.07963545620441437,-5.747038841247559,0.45829999446868896,-0.11037025600671768,2.0,249.6384735107422,132.37502474198118,460800,6.0,249.509765625,131.9794490968343,460800,21.0,247.3562774658203,131.64393762499094,460800,1.0,247.4567108154297,131.99646608904004,460800,3.0,248.8446502685547,131.69807059294544,460800,4.0,249.79603576660156,164.49961837590672,576000,300.0,0.5651050806045532,162.51418468891643,576000,987.0288628591225,166.04285115003586,1153.0717140091583
h0.002_lambda0.001_seed1,0.002,0.001,1,True,results/capacity_regime_ex8_final_h_v1/production/regime_h/h_0.002/K_1024_N_640000/arff/seed_1/artifact.npz,7fa7e840e9789afb16600621fb2c3f4075c123fdfbf5752d997676717bcca109,0.07228317856788635,0.08130262047052383,-5.820729732513428,0.4545249938964844,-0.1380782127380371,0.0723445937037468,0.07900013029575348,-5.76409387588501,0.4626999795436859,-0.12507233023643494,0.07217038422822952,0.08083154261112213,-5.697470664978027,0.45159998536109924,-0.12122320383787155,1.0,248.8514404296875,131.2461269190535,460800,13.0,249.09664916992188,131.7574256712105,460800,1.0,246.9061737060547,131.8708049878478,460800,1.0,248.7515106201172,132.083640079014,460800,28.0,249.58042907714844,131.92040233290754,460800,1.0,248.38951110839844,164.73734973813407,576000,300.0,0.5673786401748657,164.51245723688044,576000,988.3884236570448,164.64652687916532,1153.03495053621
h0.002_lambda0.008_seed1,0.002,0.008,1,False,results/ex8_h_lambda_drift_v1/jobs/h0.002_lambda0.008_seed1/artifact.npz,bef738bce5230269660dca1252305632b4b2ac076220032c2af5c21bc47bb6dc,0.06060011312365532,0.08071267604827881,-5.846991062164307,0.45912966132164,-0.12031762301921844,0.06055809557437897,0.0786004513502121,-5.826340675354004,0.46129998564720154,-0.12015747278928757,0.060513731092214584,0.08019768446683884,-5.800019264221191,0.4567999839782715,-0.1186838448047638,1.0,248.8433074951172,130.3292489699088,460800,14.0,249.09280395507812,131.0829042729456,460800,1.0,246.90628051757812,130.625808483921,460800,1.0,248.74609375,130.72734053409658,460800,36.0,249.5774688720703,130.93982298090123,460800,1.0,248.3876953125,165.872424260946,576000,300.0,0.5673713088035583,165.00229985290207,576000,984.8704004571773,163.4104639471043,1148.2808644042816
h0.002_lambda0.064_seed1,0.002,0.064,1,False,results/ex8_h_lambda_drift_v1/jobs/h0.002_lambda0.064_seed1/artifact.npz,26b31525303a6812978a22075fefcdc57e04bd8629177674430d07919e993770,0.05301126837730408,0.08168774098157883,-5.813606262207031,0.4476156234741211,-0.10593908280134201,0.05320197716355324,0.0795501098036766,-5.8023200035095215,0.45499998331069946,-0.10473024100065231,0.052781250327825546,0.0810542106628418,-5.752282619476318,0.4528999924659729,-0.10123086720705032,1.0,248.83624267578125,133.15833771810867,460800,14.0,249.09202575683594,131.79406712111086,460800,1.0,246.90585327148438,131.85319941304624,460800,1.0,248.74099731445312,131.9485472170636,460800,53.0,249.57861328125,131.95795229193754,460800,1.0,248.38275146484375,165.0878881898243,576000,298.0,0.5674492120742798,164.12387601216324,576000,990.2164854728617,163.7448818970006,1153.9613673698623
h0.002_lambda0.001_seed2,0.002,0.001,2,True,results/capacity_regime_ex8_final_h_v1/production/regime_h/h_0.002/K_1024_N_640000/arff/seed_2/artifact.npz,91cd70c0bc7aaf1b482411526dc6cfb77f41003d039a349b00bd4b0749a97a69,0.12343081831932068,0.078961081802845,-5.840093612670898,0.4571249783039093,-0.120589978992939,0.12300632894039154,0.07672574371099472,-5.792729377746582,0.46230000257492065,-0.11668959259986877,0.12376357614994049,0.07833913713693619,-5.752773284912109,0.45229998230934143,-0.11970154196023941,1.0,250.3843231201172,131.39464704692364,460800,1.0,251.342529296875,131.8737629489042,460800,27.0,245.7361297607422,132.16551150893793,460800,1.0,249.626953125,131.71679405099712,460800,48.0,249.40220642089844,131.34439564612694,460800,17.0,247.662353515625,164.507737924112,576000,300.0,0.5914705991744995,164.76900853496045,576000,988.026395638939,162.76335356896743,1150.7897492079064
h0.002_lambda0.008_seed2,0.002,0.008,2,False,results/ex8_h_lambda_drift_v1/jobs/h0.002_lambda0.008_seed2/artifact.npz,ab72be07b3dd58bcf42ffa7cb9d47d24b5ac75e218732230583dc23b5379c656,0.11096758395433426,0.0794483870267868,-5.832447528839111,0.45788124203681946,-0.1103072389960289,0.11004383862018585,0.07712454348802567,-5.808874130249023,0.46069997549057007,-0.11012760549783707,0.11135071516036987,0.07894956320524216,-5.74778938293457,0.46230000257492065,-0.10931491106748581,1.0,250.3846435546875,130.50089401309378,460800,1.0,251.33889770507812,130.3535291510634,460800,39.0,245.72979736328125,131.0284943638835,460800,1.0,249.6210479736328,130.8302440380212,460800,66.0,249.4050750732422,130.61620072391815,460800,17.0,247.66334533691406,163.53250556089915,576000,299.0,0.5915435552597046,163.15387459890917,576000,980.279461621074,162.46706191892736,1142.7465235400014
h0.002_lambda0.064_seed2,0.002,0.064,2,False,results/ex8_h_lambda_drift_v1/jobs/h0.002_lambda0.064_seed2/artifact.npz,87a60adcabdbfb85b29c8b171189d5aa242deeba27230a9aec732dd55d388738,0.140423983335495,0.07950562238693237,-5.808847427368164,0.4500359296798706,-0.10342664271593094,0.13994820415973663,0.07722270488739014,-5.7480149269104,0.4477999806404114,-0.10098781436681747,0.14074595272541046,0.07885900884866714,-5.7438249588012695,0.4486999809741974,-0.10298018902540207,3.0,250.3854217529297,131.41637441096827,460800,1.0,251.33558654785156,131.62853598897345,460800,46.0,245.72909545898438,131.72439354797825,460800,1.0,249.61538696289062,131.6312217270024,460800,85.0,249.4077606201172,131.7424311900977,460800,52.0,247.6670379638672,164.5577261778526,576000,296.0,0.5914396047592163,163.3497875041794,576000,986.369036901975,162.43971566786058,1148.8087525698356
