seed,floor,combination,projected_covariance_rmse,quadratic,logdet,constant,nll
6,0.001,hybrid,0.11538515003864273,0.8420216275980048,-11.65235604644498,1.8378770664093453,-8.97245735243763
6,0.001,arff_original,0.11538515003864273,0.8691558236270653,-11.65235604644498,1.8378770664093453,-8.945323156408568
7,1e-08,true_drift_arff_covariance,0.10951689306836494,41973.39097216216,-14.336225480466167,1.8378770664093453,41960.89262374811
7,1e-08,hybrid,0.10951689306836494,41987.46616133543,-14.336225480466167,1.8378770664093453,41974.96781292138
7,1e-08,arff_original,0.10951689306836494,44790.98880765147,-14.336225480466167,1.8378770664093453,44778.490459237415
7,1e-06,true_drift_arff_covariance,0.10951689126218238,420.31669238169377,-13.278878405763304,1.8378770664093453,408.8756910423398
7,1e-06,hybrid,0.10951689126218238,420.45755369618246,-13.278878405763304,1.8378770664093453,409.01655235682847
7,1e-06,arff_original,0.10951689126218238,448.49811951955854,-13.278878405763304,1.8378770664093453,437.05711818020455
7,0.0001,true_drift_arff_covariance,0.10951671571714394,4.780161781051867,-12.221289696512253,1.8378770664093453,-5.603250849051041
7,0.0001,hybrid,0.10951671571714394,4.78162229270102,-12.221289696512253,1.8378770664093453,-5.601790337401887
7,0.0001,arff_original,0.10951671571714394,5.066740524797642,-12.221289696512253,1.8378770664093453,-5.316672105305266
7,0.001,true_drift_arff_covariance,0.10951558208257728,0.985906092975132,-11.68886429504212,1.8378770664093453,-8.865081135657642
7,0.001,hybrid,0.10951558208257728,0.9860909948653589,-11.68886429504212,1.8378770664093453,-8.864896233767414
7,0.001,arff_original,0.10951558208257728,1.0171171801333831,-11.68886429504212,1.8378770664093453,-8.83387004849939
8,1e-08,true_drift_arff_covariance,0.11051221681705224,36276.59335448563,-14.142109742181958,1.8378770664093453,36264.28912180985
8,1e-08,hybrid,0.11051221681705224,36274.835437116824,-14.142109742181958,1.8378770664093453,36262.53120444106
8,1e-08,arff_original,0.11051221681705224,37160.004523849595,-14.142109742181958,1.8378770664093453,37147.70029117382
8,1e-06,true_drift_arff_covariance,0.110512215219198,363.3550612141899,-13.135880056543561,1.8378770664093453,352.05705822405565
8,1e-06,hybrid,0.110512215219198,363.3376506339259,-13.135880056543561,1.8378770664093453,352.0396476437916
8,1e-06,arff_original,0.110512215219198,372.18803342695196,-13.135880056543561,1.8378770664093453,360.89003043681777
8,0.0001,true_drift_arff_covariance,0.11051206017277188,4.199846051530273,-12.129031702244934,1.8378770664093453,-6.091308584305315
8,0.0001,hybrid,0.11051206017277188,4.199661684335009,-12.129031702244934,1.8378770664093453,-6.09149295150058
8,0.0001,arff_original,0.11051206017277188,4.2886223077171755,-12.129031702244934,1.8378770664093453,-6.002532328118413
8,0.001,true_drift_arff_covariance,0.11051108958580984,0.9204864362396191,-11.622899090657587,1.8378770664093453,-8.864535588008621
8,0.001,hybrid,0.11051108958580984,0.9204644439066786,-11.622899090657587,1.8378770664093453,-8.864557580341561
8,0.001,arff_original,0.11051108958580984,0.9302651680978834,-11.622899090657587,1.8378770664093453,-8.854756856150358
9,1e-08,true_drift_arff_covariance,0.11362735226124787,26235.856726370865,-14.253408993353275,1.8378770664093453,26223.441194443923
9,1e-08,hybrid,0.11362735226124787,26235.970281392765,-14.253408993353275,1.8378770664093453,26223.554749465824
9,1e-08,arff_original,0.11362735226124787,28323.663827319084,-14.253408993353275,1.8378770664093453,28311.248295392143
9,1e-06,true_drift_arff_covariance,0.11362735120041968,262.9258968674395,-13.204351224985187,1.8378770664093453,251.5594227088637
9,1e-06,hybrid,0.11362735120041968,262.9266271898936,-13.204351224985187,1.8378770664093453,251.5601530313178
9,1e-06,arff_original,0.11362735120041968,283.81301450746963,-13.204351224985187,1.8378770664093453,272.4465403488938
9,0.0001,true_drift_arff_covariance,0.11362724991995109,3.1845358858890633,-12.154690617022283,1.8378770664093453,-7.132277664723872
9,0.0001,hybrid,0.11362724991995109,3.1844909802373973,-12.154690617022283,1.8378770664093453,-7.132322570375539
