method,seed,split,nll,drift_rmse,covariance_rmse,min_raw_eigenvalue,min_covariance_eig,raw_spd_violation_rate,numerical_nonpositive_eig_rate
split_fourier,3,train,-8.333505630493164,0.6020152568817139,0.5817785859107971,,7.600708613608731e-06,,
split_fourier,3,validation,-8.371818542480469,0.6011753082275391,0.5829143524169922,,7.335927421081578e-06,,
split_fourier,3,test,-8.329046249389648,0.603604257106781,0.598999559879303,,7.77748937252909e-06,,
split_fourier,4,train,-8.521577835083008,0.6856690049171448,0.692259669303894,,7.1328813646687195e-06,,
split_fourier,4,validation,-8.563611030578613,0.686087965965271,0.6956671476364136,,7.539075795648387e-06,,
split_fourier,4,test,-8.514509201049805,0.6882551908493042,0.6969048976898193,,7.642088348802645e-06,,
split_fourier,5,train,-8.306252479553223,0.6382233500480652,0.548130452632904,,9.168764336209279e-06,,
split_fourier,5,validation,-8.340826034545898,0.6380640864372253,0.5475860834121704,,9.298576514993329e-06,,
split_fourier,5,test,-8.303040504455566,0.6394774317741394,0.5484081506729126,,9.148210665443912e-06,,
split_fourier,6,train,-8.361519813537598,0.6049801111221313,0.6711506843566895,,1.1042654477932956e-05,,
split_fourier,6,validation,-8.396354675292969,0.6055232882499695,0.6790451407432556,,1.1105815246992279e-05,,
split_fourier,6,test,-8.356815338134766,0.6070520877838135,0.6713916063308716,,1.1099356015620288e-05,,
split_fourier,7,train,-8.346433639526367,0.5787805318832397,0.6225889325141907,,8.495516340190079e-06,,
split_fourier,7,validation,-8.388442993164062,0.579003095626831,0.6231177449226379,,8.476878974761348e-06,,
split_fourier,7,test,-8.339969635009766,0.5798107385635376,0.6181437373161316,,9.611596397007816e-06,,
split_fourier,8,train,-8.3199462890625,0.6153860688209534,0.6335508227348328,,4.503056516114157e-06,,
split_fourier,8,validation,-8.34969711303711,0.6152325868606567,0.6350129246711731,,5.862093075847952e-06,,
split_fourier,8,test,-8.31725025177002,0.617489218711853,0.6325559616088867,,5.373389740270795e-06,,
split_fourier,9,train,-8.375627517700195,0.6144212484359741,0.6000481843948364,,8.479283678752836e-06,,
split_fourier,9,validation,-8.409679412841797,0.6145910620689392,0.6025848388671875,,8.55845519254217e-06,,
split_fourier,9,test,-8.363741874694824,0.6162917613983154,0.6082984805107117,,8.528916623617988e-06,,
split_fourier,10,train,-8.346790313720703,0.7477225661277771,0.7345975637435913,,7.300975994439796e-06,,
split_fourier,10,validation,-8.39346981048584,0.7480855584144592,0.7381008863449097,,7.333775101869833e-06,,
split_fourier,10,test,-8.329320907592773,0.7493922114372253,0.7337728142738342,,7.343822744587669e-06,,
split_fourier,11,train,-8.371898651123047,0.6150989532470703,0.7721228003501892,,6.3893298829498235e-06,,
split_fourier,11,validation,-8.416377067565918,0.6143195033073425,0.7790144681930542,,6.559353096236009e-06,,
split_fourier,11,test,-8.370304107666016,0.6169428825378418,0.7548305988311768,,6.432268492062576e-06,,
split_fourier,12,train,-8.279877662658691,0.6400729417800903,0.6634264588356018,,7.710933459748048e-06,,
split_fourier,12,validation,-8.320088386535645,0.640239953994751,0.663223147392273,,9.906713785312604e-06,,
split_fourier,12,test,-8.27112865447998,0.6424480676651001,0.6696022748947144,,8.932786840887275e-06,,
split_fourier,13,train,-8.348184585571289,0.7212793827056885,0.6144139170646667,,5.92166588830878e-06,,
split_fourier,13,validation,-8.38647747039795,0.7203289270401001,0.6187462210655212,,6.033931185811525e-06,,
split_fourier,13,test,-8.341553688049316,0.7225481867790222,0.6270011067390442,,5.90545005252352e-06,,
split_fourier,14,train,-8.41479778289795,0.6553109884262085,0.5792585015296936,,8.279029316327069e-06,,
split_fourier,14,validation,-8.455446243286133,0.6550657153129578,0.5809236168861389,,8.380246981687378e-06,,
split_fourier,14,test,-8.407432556152344,0.6566123366355896,0.5825461745262146,,8.344419256900437e-06,,
split_fourier,15,train,-8.340879440307617,0.5869461894035339,0.6560593247413635,,1.0300061148882378e-05,,
split_fourier,15,validation,-8.387962341308594,0.5870712995529175,0.6596823334693909,,1.0257666872348636e-05,,
split_fourier,15,test,-8.345521926879883,0.5876476764678955,0.651177704334259,,1.0303568160452414e-05,,
split_fourier,16,train,-8.325222969055176,0.6160040497779846,0.6471797823905945,,5.632946795230964e-06,,
split_fourier,16,validation,-8.366438865661621,0.617493748664856,0.6489245891571045,,5.67998586120666e-06,,
split_fourier,16,test,-8.318408012390137,0.6181584000587463,0.6525628566741943,,5.734699243475916e-06,,
split_fourier,17,train,-8.198868751525879,0.5977024435997009,0.8677337765693665,,9.44319981499575e-06,,
split_fourier,17,validation,-8.237853050231934,0.5980241298675537,0.8608498573303223,,9.590386071067769e-06,,
split_fourier,17,test,-8.193270683288574,0.5995636582374573,0.8850746154785156,,9.535778190183919e-06,,
split_fourier,18,train,-8.365865707397461,0.5916377305984497,0.5521761178970337,,1.0086897418659646e-05,,
split_fourier,18,validation,-8.397677421569824,0.5928553342819214,0.5507940053939819,,1.0129883776244242e-05,,
split_fourier,18,test,-8.350506782531738,0.5938224792480469,0.5582724809646606,,1.0137185199710075e-05,,
split_fourier,19,train,-8.313218116760254,0.6526579856872559,0.6563555002212524,,6.542246865137713e-06,,
split_fourier,19,validation,-8.346393585205078,0.6521814465522766,0.6580060720443726,,6.649994247709401e-06,,
split_fourier,19,test,-8.30859088897705,0.6545286178588867,0.6634467840194702,,6.620046406169422e-06,,
split_fourier,20,train,-8.38275146484375,0.6363033056259155,0.5523260235786438,,7.878387805249076e-06,,
split_fourier,20,validation,-8.415596008300781,0.6369896531105042,0.5539922118186951,,7.902109246060718e-06,,
split_fourier,20,test,-8.37045955657959,0.6366492509841919,0.562714695930481,,7.898855983512476e-06,,
split_fourier,21,train,-8.34543228149414,0.6403920650482178,0.5047017931938171,,6.317780389508698e-06,,
split_fourier,21,validation,-8.391037940979004,0.6394604444503784,0.5064327716827393,,6.533262421726249e-06,,
split_fourier,21,test,-8.345444679260254,0.6433950662612915,0.5031547546386719,,6.423840659408597e-06,,
split_fourier,22,train,-8.458889961242676,0.624559760093689,0.48462411761283875,,7.932232620078139e-06,,
split_fourier,22,validation,-8.506559371948242,0.6247232556343079,0.4885101020336151,,7.704252311668824e-06,,
split_fourier,22,test,-8.445274353027344,0.6274842619895935,0.48215970396995544,,7.68412519391859e-06,,
split_fourier,23,train,-8.380281448364258,0.5961412787437439,0.812290370464325,,6.670741640846245e-06,,
split_fourier,23,validation,-8.432328224182129,0.5962393879890442,0.8189122676849365,,6.688606845273171e-06,,
split_fourier,23,test,-8.392003059387207,0.5975247621536255,0.7940048575401306,,6.678624231426511e-06,,
split_fourier,24,train,-8.396733283996582,0.6114934086799622,0.6240583062171936,,6.594188562303316e-06,,
split_fourier,24,validation,-8.430534362792969,0.6121141314506531,0.6238875389099121,,6.606495844607707e-06,,
split_fourier,24,test,-8.380575180053711,0.6141278743743896,0.6397536993026733,,7.798090337018948e-06,,
split_fourier,25,train,-8.471304893493652,0.6595929861068726,0.6863826513290405,,8.174017239070963e-06,,
split_fourier,25,validation,-8.505614280700684,0.6591249108314514,0.6855314373970032,,8.17769887362374e-06,,
split_fourier,25,test,-8.463821411132812,0.6621140837669373,0.7086890339851379,,8.19329397927504e-06,,
split_fourier,26,train,-8.348478317260742,0.6486971974372864,0.4857092499732971,,8.012479156604968e-06,,
split_fourier,26,validation,-8.383054733276367,0.6486733555793762,0.48630547523498535,,8.15926705399761e-06,,
split_fourier,26,test,-8.34067440032959,0.6510515809059143,0.49041274189949036,,8.148908818839118e-06,,
split_fourier,27,train,-8.40164852142334,0.6198800206184387,0.8170354962348938,,6.20382570559741e-06,,
split_fourier,27,validation,-8.436956405639648,0.6205220818519592,0.8163478970527649,,6.4632522480678745e-06,,
split_fourier,27,test,-8.39417552947998,0.6209792494773865,0.8421082496643066,,6.243210009415634e-06,,
split_fourier,28,train,-8.307751655578613,0.7007761001586914,0.5030315518379211,,1.0025455594586674e-05,,
split_fourier,28,validation,-8.360998153686523,0.7010155320167542,0.5049865245819092,,1.0035925697593484e-05,,
split_fourier,28,test,-8.319534301757812,0.7025487422943115,0.49890947341918945,,1.0009935067500919e-05,,
split_fourier,29,train,-8.367890357971191,0.6043824553489685,0.6494743824005127,,7.37311484044767e-06,,
split_fourier,29,validation,-8.409224510192871,0.6040108799934387,0.6530944108963013,,8.826003977446817e-06,,
split_fourier,29,test,-8.358860969543457,0.6050039529800415,0.6456964015960693,,8.35487026051851e-06,,
arff,0,train,-8.932332992553711,0.909792959690094,0.11391051113605499,-0.15487827360630035,,0.468099981546402,
arff,0,validation,-8.9677095413208,0.9118586182594299,0.11188022792339325,-0.13486428558826447,,0.468099981546402,
arff,0,test,-8.944207191467285,0.9129429459571838,0.11329804360866547,-0.13500073552131653,,0.4635999798774719,
arff,1,train,-8.891815185546875,0.9866438508033752,0.11790874600410461,-0.20836518704891205,,0.45080000162124634,
arff,1,validation,-8.925857543945312,0.9968003034591675,0.11612147092819214,-0.19459384679794312,,0.4488999843597412,
arff,1,test,-8.9095458984375,0.9971029758453369,0.11775513738393784,-0.19451944530010223,,0.44859999418258667,
arff,2,train,-8.827515602111816,0.7128798365592957,0.11801489442586899,-0.19714626669883728,,0.4416874945163727,
arff,2,validation,-8.849722862243652,0.7102010846138,0.11639881134033203,-0.17570123076438904,,0.4398999810218811,
arff,2,test,-8.84109878540039,0.7163335084915161,0.11728116869926453,-0.18087440729141235,,0.44039997458457947,
arff,3,train,-8.950087547302246,0.7967752814292908,0.11457668244838715,-0.17248013615608215,,0.46373748779296875,
arff,3,validation,-8.972285270690918,0.7968208193778992,0.11280195415019989,-0.16512465476989746,,0.45669999718666077,
arff,3,test,-8.975495338439941,0.7995396256446838,0.11402643471956253,-0.16407984495162964,,0.46799999475479126,
arff,4,train,-8.83080768585205,0.7325204610824585,0.11712861806154251,-0.19067791104316711,,0.4661625027656555,
arff,4,validation,-8.83108901977539,0.738656222820282,0.11568150669336319,-0.1722792536020279,,0.4643999934196472,
