K,N,dataset_root,h,method,seed,study,variant,parameters,algorithm_time,best_epoch,train_nll,train_drift_rmse,train_covariance_rmse,train_min_raw_eigenvalue,validation_nll,validation_drift_rmse,validation_covariance_rmse,validation_min_raw_eigenvalue,test_nll,test_drift_rmse,test_covariance_rmse,test_min_raw_eigenvalue,final_drift_best_epoch,covariance_best_epoch,train_min_covariance_eig,validation_min_covariance_eig,test_min_covariance_eig,final_drift_best_iteration,covariance_best_iteration,train_raw_spd_violation_rate,validation_raw_spd_violation_rate,test_raw_spd_violation_rate,train_numerical_nonpositive_eig_rate,validation_numerical_nonpositive_eig_rate,test_numerical_nonpositive_eig_rate
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,arff,4,regime_capacity,h_0.0001,896,13.823384520947002,,-8.79158878326416,0.22505712509155273,0.13692811131477356,-0.1476154774427414,-8.802964210510254,0.22370392084121704,0.13659487664699554,-0.14717091619968414,-8.794234275817871,0.2245396226644516,0.13679590821266174,-0.14671872556209564,,,,,,1,257,0.4166984260082245,0.4188999831676483,0.4140999913215637,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,arff,5,regime_capacity,h_0.0001,896,13.621617394965142,,-8.495229721069336,0.756122350692749,0.13334497809410095,-0.23169146478176117,-8.519472122192383,0.7582802772521973,0.13290996849536896,-0.2304193675518036,-8.533992767333984,0.7612946629524231,0.13311715424060822,-0.23091810941696167,,,,,,186,285,0.4197765588760376,0.42329999804496765,0.4189999997615814,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,arff,6,regime_capacity,h_0.0001,896,13.783826372935437,,-8.844225883483887,0.6906731724739075,0.12920640408992767,-0.21649640798568726,-8.859292984008789,0.6928261518478394,0.1281307339668274,-0.1949429214000702,-8.861732482910156,0.6936882734298706,0.129342183470726,-0.2112322449684143,,,,,,209,274,0.44238749146461487,0.4397999942302704,0.4414999783039093,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,arff,7,regime_capacity,h_0.0001,896,13.534988339990377,,-8.630937576293945,0.22823207080364227,0.1391924023628235,-0.16044339537620544,-8.671720504760742,0.22663597762584686,0.1385267674922943,-0.15686552226543427,-8.66778564453125,0.22957733273506165,0.1391727775335312,-0.15159781277179718,,,,,,1,277,0.4248703122138977,0.43039998412132263,0.4268999993801117,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,arff,8,regime_capacity,h_0.0001,896,13.731969423010014,,-8.651837348937988,0.5783666372299194,0.1321183294057846,-0.15277956426143646,-8.648947715759277,0.5750173926353455,0.13116766512393951,-0.14436425268650055,-8.662893295288086,0.5787586569786072,0.1320909708738327,-0.14259454607963562,,,,,,95,257,0.4512656033039093,0.45419999957084656,0.4511999785900116,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,arff,9,regime_capacity,h_0.0001,896,13.785821588942781,,-8.52535343170166,0.6886531710624695,0.14071431756019592,-0.16628777980804443,-8.563222885131836,0.6945216059684753,0.1400393694639206,-0.16576115787029266,-8.559313774108887,0.6932016611099243,0.14075885713100433,-0.16590434312820435,,,,,,160,203,0.4203406274318695,0.4213999807834625,0.4211999773979187,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_mlp,0,regime_capacity,h_0.0001,887,1011.0499916649424,292,-10.676321,0.0653108731,0.300956905,1.3558506e-05,-10.7188635,0.0654530078,0.298267156,1.35822747e-05,-10.6993017,0.0642563701,0.295157045,1.36175267e-05,,,,,,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_mlp,1,regime_capacity,h_0.0001,887,1000.2090009029489,299,-10.5676041,0.304206997,0.264843762,9.75148851e-06,-10.5962543,0.304743528,0.262957513,9.782294e-06,-10.5999517,0.304816365,0.265157253,9.88312877e-06,,,,,,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_mlp,2,regime_capacity,h_0.0001,887,962.2968616159633,282,-10.6757421,0.228922814,0.248952284,8.45955219e-06,-10.7305861,0.229338229,0.247250348,8.54788959e-06,-10.7174349,0.230165035,0.248238549,8.53618258e-06,,,,,,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_mlp,3,regime_capacity,h_0.0001,887,950.2071766270092,281,-10.5695372,0.147056565,0.325077116,6.2455656e-06,-10.6058388,0.147606879,0.325789571,6.4650676e-06,-10.5979652,0.145350397,0.32478413,6.32865749e-06,,,,,,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_mlp,4,regime_capacity,h_0.0001,887,1014.6787148269359,299,-10.7303143,0.128522292,0.293650568,1.09949633e-05,-10.7658825,0.128295004,0.29142651,1.11026684e-05,-10.7591448,0.127657771,0.290152848,1.10773408e-05,,,,,,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_mlp,5,regime_capacity,h_0.0001,887,963.871215865016,276,-10.4440384,0.230610132,0.260868043,9.05065099e-06,-10.5001631,0.229485124,0.254153669,9.33243882e-06,-10.4382563,0.233623385,0.266551912,9.27709971e-06,,,,,,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_mlp,6,regime_capacity,h_0.0001,887,966.3104225189891,298,-10.5883331,0.179896191,0.24111554,1.40485763e-05,-10.6374683,0.180426329,0.239707261,1.41465089e-05,-10.6127844,0.179346338,0.238266647,1.40736229e-05,,,,,,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_mlp,7,regime_capacity,h_0.0001,887,947.4109646510333,297,-10.7693434,0.271454513,0.315277636,7.89478509e-06,-10.809947,0.271496862,0.31558919,7.91618641e-06,-10.779952,0.272364438,0.322336972,7.98203473e-06,,,,,,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_mlp,8,regime_capacity,h_0.0001,887,1008.0256842189701,294,-10.7458029,0.232497156,0.308383107,8.87102578e-06,-10.8044376,0.232210323,0.305362523,8.9666346e-06,-10.7809792,0.233005971,0.296387762,8.96498568e-06,,,,,,,,,,,,,
